			StressToWeight	WeightToStress	*StressHigh	*StressMid	*StressLow	*UnstressHigh	*UnstressMid	*UnstressLow	*HH	*LL	*Lapse
			StressToWeight	WeightToStress	*StressHigh	*StressMid	*StressLow	*UnstressHigh	*UnstressMid	*UnstressLow	*HH	*LL	*Lapse
kala	k\a'.loi.den	0	1	2	0	0	0	0	0	1	1	0	1
	k\a'.lo.jen	500	1	1	0	0	0	0	0	1	0	1	1
lasi	(l\a'.sei.den)	0	1	2	0	0	0	1	0	0	1	0	1
	l\a'.si.en	500	1	1	0	0	0	1	0	0	0	1	1
kamera	k\a'.me.r\o`i.den	720	1	1	0	0	1	0	0	0	1	1	0
	k\a'.me.ro.jen	4	1	1	0	0	0	0	0	1	0	2	
hetero	h\e'.te.r\o`i.den	389	1	1	0	1	0	0	0	0	1	1	0
	h\e'.te.ro.jen	2	1	1	0	0	0	0	1	0	0	2	2
naapuri	n\a'a.pu.r\e`i.den	215	0	1	1	0	0	0	0	0	1	0	0
	n\a'a.pu.ri.en	368	0	1	0	0	0	1	0	0	0	1	2
maailma	m\a'a.il.m\o`i.den	46	0	2	0	0	1	0	0	0	3	0	0
	m\a'a.il.mo.jen	45	0	2	0	0	0	0	0	1	1	0	2
korjaamo	k\o'r.jaa.m\o`i.den	76	0	2	0	1	0	0	0	0	3	0	0
	k\o'r.jaa.mo.jen	350	0	2	0	0	0	0	1	0	1	0	2
poliisi	p\o'.lii.s\e`i.den	13	1	2	1	0	0	0	0	0	2	0	0
	p\o'.lii.si.en	806	1	2	0	0	0	1	0	0	0	0	2
taiteilija	t\a'i.tei.li.j\o`i.den	276	0	2	0	0	1	0	0	0	2	0	1
	t\a'i.tei.li.jo.jen	0	0	2	0	0	0	0	0	1	1	1	3
luettelo	l\u'.et.te.l\o`i.den	25	1	2	0	1	0	0	0	0	1	0	1
	l\u'.et.te.lo.jen	0	1	2	0	0	0	0	1	0	0	1	3
ministeri	m\i'.nis.te.r\e`i.den	39	1	2	1	0	0	0	0	0	1	0	1
	m\i'.nis.te.ri.en	234	1	2	0	0	0	1	0	0	0	1	3
luonnehdinta	l\u'on.neh.d\i`n.toi.den	0	0	3	0	0	0	0	0	1	4	0	1
	l\u'on.neh.d\i`n.to.jen	1	0	2	0	0	0	0	0	1	2	0	1
edustusto	\e'.dus.t\u`s.toi.den	0	1	3	0	0	0	0	1	0	3	0	1
	\e'.dus.t\u`s.to.jen	84	1	2	0	0	0	0	1	0	1	0	1
margariini	m\a'r.ga.r\i`i.nei.den	0	0	2	0	0	0	1	0	0	2	0	1
	m\a'r.ga.r\i`i.ni.en	736	0	1	0	0	0	1	0	0	0	0	1
ajattelija	\a'.jat.te.li.j\o`i.den	101	1	2	0	0	1	0	0	0	1	1	2
	\a'.jat.te.li.jo.jen	0	1	2	0	0	0	0	0	1	0	2	4
televisio	t\e'.le.vi.si.\o`i.den	41	1	1	0	1	0	0	0	0	1	3	2
	t\e'.le.vi.si.o.jen	0	1	1	0	0	0	0	1	0	0	4	4
Aleksanteri	\A'.lek.s\a`n.te.r\e`i.den	2	1	2	1	0	0	0	0	0	2	0	0
	\A'.lek.s\a`n.te.ri.en	15	1	2	0	0	0	1	0	0	1	1	2
evankelista	\e'.van.ke.l\i`s.to.jen	2	1	2	0	0	0	0	0	1	0	0	2
	\e'.van.ke.l\i`s.toi.den	0	1	3	0	0	0	0	0	1	2	0	2
	\e'.van.ke.lis.t\o`i.den	0	1	3	0	0	1	0	0	0	2	0	2
italiaano	\i'.ta.li.\a`a.no.jen	1	1	1	0	0	0	0	1	0	0	2	2
	\i'.ta.li.\a`a.noi.den	0	1	2	0	0	0	0	1	0	2	2	2
	\i'.ta.li.aa.n\o`i.den	0	1	2	0	1	0	0	0	0	2	2	2
sosialisti	s\o'.si.a.l\i`s.ti.en	99	1	1	0	0	0	1	0	0	0	2	2
	s\o'.si.a.l\i`s.tei.den	0	1	2	0	0	0	1	0	0	2	2	2
	s\o'.si.a.lis.t\e`i.den	0	1	2	1	0	0	0	0	0	2	2	2
koordinaatisto	k\o'or.di.n\a`a.tis.to.jen	8	0	2	0	0	0	0	1	0	1	0	2
	k\o'or.di.n\a`a.tis.t\o`i.den	2	0	2	0	1	0	0	0	0	3	0	0
avantgardisti	\a'.vant.g\a`r.dis.ti.en	2	1	3	0	0	0	1	0	0	2	0	2
	\a'.vant.gar.d\i`s.ti.en	0	1	3	0	0	0	1	0	0	2	0	2
	\a'.vant.g\a`r.dis.t\e`i.den	0	1	3	1	0	0	0	0	0	4	0	0
	\a'.vant.gar.d\i`s.tei.den	0	1	4	0	0	0	1	0	0	4	0	2
intellektuelli	\i'n.tel.l\e`k.tu.\e`l.li.en	0	0	2	0	0	0	1	0	0	2	0	1
	\i'n.tel.l\e`k.tu.\e`l.lei.den	0	0	3	0	0	0	1	0	0	4	0	1
	\i'n.tel.l\e`k.tu.el.l\e`i.den	0	0	3	1	0	0	0	0	0	4	0	1
eksistentialisti	\e'k.sis.t\e`n.ti.a.l\i`s.ti.en	0	0	2	0	0	0	1	0	0	2	1	2
	\e'k.sis.t\e`n.ti.a.l\i`s.tei.den	0	0	3	0	0	0	1	0	0	4	1	2
	\e'k.sis.t\e`n.ti.a.lis.t\e`i.den	0	0	3	1	0	0	0	0	0	4	1	2
meteorologi	m\e'.te.o.ro.lo.gi.en	0	1	1	0	0	0	1	0	0	0	5	5
	m\e'.te.o.ro.lo.g\e`i.den	0	1	1	1	0	0	0	0	0	1	4	3
